filename,entity_id,variant,take,role,status,folder,source,original_filename,added,notes
SHM-CHR-001-ZAHHAK_V01_snake-shoulders-plain-staff.jpeg,SHM-CHR-001-ZAHHAK,V01,T01,PLATE,CONCEPT,01_CHARACTERS,unknown,Man_walking_with_black_snakes_202609031256.jpeg,2026-09-03,"Front/back 3/4 plus mask-crown detail and velvet swatch."
SHM-CHR-001-ZAHHAK_V02_dragon-robe-oldwood-staff.jpeg,SHM-CHR-001-ZAHHAK,V02,T01,PLATE,CONCEPT,01_CHARACTERS,unknown,Zahhak-_Old_Wood_202609031256.jpeg,2026-09-03,"Carries SHM-PRP-002. Includes velvet, embroidery, mask texture and crown metal swatches."
SHM-CHR-001-ZAHHAK_V03_dragon-robe-cobra-staff.jpeg,SHM-CHR-001-ZAHHAK,V03,T01,PLATE,CONCEPT,01_CHARACTERS,unknown,Zahhak_Hair_202609031256.jpeg,2026-09-03,"Identical to V02 except carries SHM-PRP-001 (cobra staff)."
SHM-CHR-002-JAMSHID_V01_sunburst-mask-gold-crown.jpeg,SHM-CHR-002-JAMSHID,V01,T01,PLATE,CONCEPT,01_CHARACTERS,unknown,Jamshid_202609031257.jpeg,2026-09-03,"6-up plate: mask closeup, front, back, robe detail, nose detail, crown."
SHM-GRP-001-WORKERS_V01_block-mask-tunics.jpeg,SHM-GRP-001-WORKERS,V01,T01,HERO,CONCEPT,02_GROUPS,unknown,group_of_primitive_civilization_worker.png_202609031257.jpeg,2026-09-03,"Five figures, dusk, stone wall behind."
SHM-GRP-003-FIRE-PRIESTS_V01_beaked-sun-masks.jpeg,SHM-GRP-003-FIRE-PRIESTS,V01,T01,HERO,CONCEPT,02_GROUPS,unknown,group_of_primitive_fire_priests3.png_202609031257.jpeg,2026-09-03,"Four figures, split yellow/teal backdrop, drifting ash."
SHM-GRP-004-ROYAL-WARRIORS_V01_stone-masks-sun-shields.jpeg,SHM-GRP-004-ROYAL-WARRIORS,V01,T01,HERO,CONCEPT,02_GROUPS,unknown,group_of_primitive_roal_wariors.png_202609031257.jpeg,2026-09-03,"Formation with spears and sunburst shields, white brick wall."
SHM-GRP-005-PALACE-GUARDS_V01_faceless-stone-heads.jpeg,SHM-GRP-005-PALACE-GUARDS,V01,T01,HERO,CONCEPT,02_GROUPS,unknown,Guard_202609031301.jpeg,2026-09-03,"Rank of eleven, overhead grass background."
SHM-LOC-001-GATE-CEREMONIAL-STONE-RELIEF_V01_horse-reliefs-dusk.png,SHM-LOC-001-GATE-CEREMONIAL-STONE-RELIEF,V01,T01,HERO,CONCEPT,03_LOCATIONS,midjourney,Digianzu_colossal_ceremonial_entrance_gate_to_an_imagined_anc_92307444-62ad-43de-bbac-15bb597569f4_1.png,2026-09-03,
SHM-LOC-002-GATE-CEREMONIAL-CYPRESS-COURT_V01_bronze-door-water-channels.png,SHM-LOC-002-GATE-CEREMONIAL-CYPRESS-COURT,V01,T01,HERO,CONCEPT,03_LOCATIONS,midjourney,Digianzu_colossal_ceremonial_entrance_gate_to_a_thriving_anci_0fa87ff4-8044-4d4c-8acf-50235668c14b_1.png,2026-09-03,
SHM-LOC-003-GATE-CEREMONIAL-MARBLE-SCREEN_V01_storm-sky-cypress-rows.png,SHM-LOC-003-GATE-CEREMONIAL-MARBLE-SCREEN,V01,T01,HERO,CONCEPT,03_LOCATIONS,midjourney,Digianzu_colossal_ceremonial_entrance_gate_to_a_thriving_anci_e032d034-0cc3-4617-9696-78ece3b1f737_2.png,2026-09-03,
SHM-LOC-004-MOUNTAIN-PASS_V01_lone-peak-dirt-road.png,SHM-LOC-004-MOUNTAIN-PASS,V01,T01,HERO,CONCEPT,03_LOCATIONS,midjourney,Digianzu_immense_ancient_mountain_passage_leading_toward_the__8829e93f-b961-4d4d-89a4-eda3ff685acb_1.png,2026-09-03,
